date_key,brand_key,channel_key,market_key,mmm_contribution_pct,mmm_incremental_revenue_eur,mmm_roas,saturation_index,optimal_spend_eur,marginal_roas,spend_eur,revenue_eur
20240101,1,1,1,0.023484348267914252,11098.3,0.5004200113896807,0.9304635122548814,23835.4,0.319,22177.97,472582.84
20240101,1,1,2,0.023973581690129347,12768.7,0.5232160286769606,0.9182663598787648,26576.45,0.337,24404.26,532615.45
20240101,1,1,3,0.025391390912196783,16572.03,0.5562748983924046,0.8398127277053168,35473.48,0.383,29791.08,652663.34
20240101,1,1,4,0.02395368036421991,11310.57,0.4976640448587867,0.8528910336059179,26647.39,0.339,22727.32,472185.06
20240101,1,2,1,0.023371119442254822,11044.79,0.5754829693922692,0.8644029933094175,22202.85,0.388,19192.21,472582.84
20240101,1,2,2,0.024752511403865585,13183.57,0.6016982647668252,0.8188472471266386,26757.86,0.421,21910.6,532615.45
20240101,1,2,3,0.02611858052269337,17046.64,0.63971623274349,0.9024267170859752,29528.37,0.418,26647.19,652663.34
20240101,1,2,4,0.022998948759624036,10859.76,0.5723136369121996,0.8680348619438114,21859.94,0.385,18975.19,472185.06
20240101,1,3,1,0.02062840453538262,9748.63,0.4753991475748797,0.8036122618450925,25517.53,0.337,20506.2,472582.84
20240101,1,3,2,0.021951991816985407,11691.97,0.4970553687601684,0.81104050880552,29002.83,0.35,23522.47,532615.45
20240101,1,3,3,0.023251436184541945,15175.36,0.5284613659505533,0.8812058685438806,32587.3,0.352,28716.12,652663.34
20240101,1,3,4,0.020707919051907317,9777.97,0.47278069687256885,0.8938615985568091,23137.62,0.311,20681.829999999998,472185.06
20240101,1,4,1,0.037185649821732836,17573.3,0.4253571772624534,0.9435346161444185,43786.65,0.268,41314.22,472582.84
20240101,1,4,2,0.03803594131563401,20258.53,0.4447336618220255,0.909092088380929,50107.19,0.289,45552.05,532615.45
20240101,1,4,3,0.04063669333718055,26522.08,0.47283371517782385,0.937445182328922,59834.72,0.3,56091.77,652663.34
20240101,1,4,4,0.036405810891178975,17190.28,0.4230142584734971,0.8214094556626846,49473.0,0.295,40637.59,472185.06
20240101,1,5,1,0.014492612554446537,6848.96,0.4503779145848595,0.8168982004983962,18615.71,0.316,15207.14,472582.84
20240101,1,5,2,0.015558523508846766,8286.71,0.4708943896996273,0.8054946146441583,21847.21,0.333,17597.81,532615.45
20240101,1,5,3,0.01621212553473587,10581.06,0.5006472749158258,0.9348333889919741,22608.05,0.318,21134.76,652663.34
20240101,1,5,4,0.01541120339555004,7276.94,0.44789768866391577,0.8105369079636949,20044.59,0.315,16246.88,472185.06
20240101,1,6,1,0.02179986052815629,10302.24,0.5504621273567213,0.8349454704760748,22415.38,0.38,18715.62,472582.84
20240101,1,6,2,0.021433831857487425,11415.99,0.5755379035600096,0.8838545468156382,22441.86,0.382,19835.34,532615.45
20240101,1,6,3,0.023713787877223197,15477.12,0.6119025328306471,0.8201786442724684,30838.94,0.428,25293.44,652663.34
